name,ID,speed,weight,pVGRF_N,pVACC_g,pRGRF_N,pRACC_g
2017-01-02_ED_4km_m1_1_046.txt,46,4,86.8,1235.42,1.73,1258.09,1.77
2017-01-02_ED_5km_m1_1_046.txt,46,5,86.8,1267.48,2.03,1290.62,2.08
2017-01-06_ED_2km_m1_1_047.txt,47,2,111.1,1244.59,1.34,1251.75,1.37
2017-01-06_ED_3km_m1_1_047.txt,47,3,111.1,1404.46,1.51,1419,1.59
2017-01-06_ED_4km_m1_1_047.txt,47,4,111.1,1564.92,1.69,1582.16,1.82
2017-01-06_ED_5km_m1_1_047.txt,47,5,111.1,1681.88,1.84,1712.9,2.04
2017-01-06_ED_2km_m1_1_048.txt,48,2,119.3,1366.52,0.99,1373.17,1.35
2017-01-06_ED_3km_m1_1_048.txt,48,3,119.3,1538.62,1.1,1551.03,1.52
2017-01-06_ED_4km_m1_1_048.txt,48,4,119.3,1710.48,1.19,1733.18,1.72
2017-01-06_ED_5km_m1_1_048.txt,48,5,119.3,1809.45,1.33,1850.51,1.91
2017-01-13_ED_2km_m1_1_049.txt,49,2,112.5,1333.43,1.42,1336.46,1.44
2017-01-13_ED_3km_m1_1_049.txt,49,3,112.5,1484.7,1.7,1507.71,1.75
2017-01-13_ED_4km_m1_1_049.txt,49,4,112.5,1671.59,1.96,1706.62,2.01
2017-01-13_ED_5km_m1_1_049.txt,49,5,112.5,1702.75,2.09,1776.27,2.17
2017-01-27_ED_2km_m1_1_050.txt,501,2,116,1375.82,1.43,1384.32,1.48
2017-03-13_ED_2km_m2_1_050.txt,502,2,109.5,1302.47,1.33,1313.39,1.43
2017-01-27_ED_3km_m1_1_050.txt,501,3,116,1554.55,1.57,1571.4,1.67
2017-03-13_ED_3km_m2_1_050.txt,502,3,109.5,1477.3,1.62,1498.12,1.68
2017-01-27_ED_4km_m1_1_050.txt,501,4,116,1711.87,1.75,1740.01,1.92
2017-03-13_ED_4km_m2_1_050.txt,502,4,109.5,1625.35,1.7,1656.74,1.8
2017-01-27_ED_5km_m1_1_050.txt,501,5,116,1840.56,1.95,1919.28,2.22
2017-01-27_ED_6km_m1_1_050.txt,501,6,116,1965.06,1.82,2030.67,2.51
2017-02-06_ED_2km_m1_1_051.txt,51,2,102.3,1146.21,1.2,1158.91,1.32
2017-02-06_ED_3km_m1_1_051.txt,51,3,102.3,1220.5,1.34,1240.73,1.44
2017-02-06_ED_4km_m1_1_051.txt,51,4,102.3,1298.3,1.52,1321.85,1.58
2017-02-06_ED_5km_m1_1_051.txt,51,5,102.3,1365.2,1.59,1402.68,1.72
2017-02-06_ED_6km_m1_1_051.txt,51,6,102.3,1443.34,1.76,1480.97,1.94
2017-02-06_ED_2km_m1_1_052.txt,52,2,105.4,1185.77,1.18,1193.78,1.21
2017-02-06_ED_3km_m1_1_052.txt,52,3,105.4,1259.12,1.27,1274.16,1.34
2017-02-06_ED_4km_m1_1_052.txt,52,4,105.4,1340.76,1.41,1362.41,1.45
2017-02-06_ED_5km_m1_1_052.txt,52,5,105.4,1480.93,1.62,1518.77,1.74
2017-02-06_ED_6km_m1_1_052.txt,52,6,105.4,1549.26,1.96,1604.15,2.11
2017-02-011_ED_2km_m1_1_053.txt,53,2,93.2,1148.54,1.37,1156.28,1.38
2017-02-011_ED_3km_m1_1_053.txt,53,3,93.2,1287.72,1.57,1302.06,1.6
