"name","ID","speed","weight","pVGRF_N","pVACC_g","pRGRF_N","pRACC_g"
"2016-12-23_ED_5km_m1_1_044.txt",44,5,114.1,1671.67,1.79,1734.38,2.01
"2016-12-23_ED_6km_m1_1_044.txt",44,6,114.1,1756.87,2.06,1840.49,2.23
"2016-12-23_ED_2km_m1_1_045.txt",45,2,105.9,1261.88,1.12,1282.9,1.27
"2016-12-23_ED_3km_m1_1_045.txt",45,3,105.9,1344.64,1.2,1373.92,1.38
"2016-12-23_ED_4km_m1_1_045.txt",45,4,105.9,1489.67,1.36,1516.59,1.57
"2016-12-23_ED_5km_m1_1_045.txt",45,5,105.9,1613.88,1.38,1658.45,1.87
"2017-01-02_ED_2km_m1_1_046.txt",46,2,86.8,1083.72,1.18,1088.64,1.31
"2017-01-02_ED_3km_m1_1_046.txt",46,3,86.8,1185.94,1.24,1194.95,1.38
"2017-01-02_ED_4km_m1_1_046.txt",46,4,86.8,1225.57,1.28,1236.93,1.46
"2017-01-02_ED_5km_m1_1_046.txt",46,5,86.8,1301.16,1.32,1297.84,1.68
"2017-01-06_ED_2km_m1_1_047.txt",47,2,111.1,1242.35,1.2,1248.22,1.22
"2017-01-06_ED_3km_m1_1_047.txt",47,3,111.1,1404.13,1.4,1413,1.41
"2017-01-06_ED_4km_m1_1_047.txt",47,4,111.1,1575.93,1.48,1597.49,1.5
"2017-01-06_ED_5km_m1_1_047.txt",47,5,111.1,1678.66,1.62,1712.63,1.66
"2017-01-06_ED_2km_m1_1_048.txt",48,2,119.3,1363.6,1.15,1374.56,1.23
"2017-01-06_ED_3km_m1_1_048.txt",48,3,119.3,1554.62,1.3,1562.43,1.38
"2017-01-06_ED_4km_m1_1_048.txt",48,4,119.3,1704.87,1.42,1734,1.53
"2017-01-06_ED_5km_m1_1_048.txt",48,5,119.3,1807.67,1.44,1849.71,1.6
"2017-01-13_ED_2km_m1_1_049.txt",49,2,112.5,1327.97,1.28,1337.56,1.3
"2017-01-13_ED_3km_m1_1_049.txt",49,3,112.5,1482.96,1.45,1502.38,1.48
"2017-01-13_ED_4km_m1_1_049.txt",49,4,112.5,1672.36,1.64,1707.84,1.68
"2017-01-13_ED_5km_m1_1_049.txt",49,5,112.5,1724.8,1.87,1773.83,1.9
"2017-01-27_ED_2km_m1_1_050.txt",50,2,116,1376.09,0.93,1381.77,1.29
"2017-03-13_ED_2km_m2_1_050.txt",50,2,109.5,1299.77,1.06,1316.62,1.31
"2017-01-27_ED_3km_m1_1_050.txt",50,3,116,1546.4,1.15,1573.67,1.49
"2017-03-13_ED_3km_m2_1_050.txt",50,3,109.5,1479.93,1.23,1502.29,1.54
"2017-01-27_ED_4km_m1_1_050.txt",50,4,116,1706.44,1.28,1756.17,1.61
"2017-03-13_ED_4km_m2_1_050.txt",50,4,109.5,1644.01,1.34,1667.17,1.59
"2017-01-27_ED_5km_m1_1_050.txt",50,5,116,1857.26,1.22,1912.76,1.64
"2017-03-13_ED_5km_m2_1_050.txt",50,5,109.5,1774.09,1.4,1828.14,1.67
"2017-01-27_ED_6km_m1_1_050.txt",50,6,116,1928.94,1.37,2005.68,1.93
"2017-02-06_ED_2km_m1_1_051.txt",51,2,102.3,1147.3,1.16,1157.07,1.18
"2017-02-06_ED_3km_m1_1_051.txt",51,3,102.3,1209.43,1.25,1223.5,1.26
"2017-02-06_ED_4km_m1_1_051.txt",51,4,102.3,1306.81,1.36,1338.22,1.39
"2017-02-06_ED_5km_m1_1_051.txt",51,5,102.3,1376.62,1.48,1417.18,1.53
"2017-02-06_ED_6km_m1_1_051.txt",51,6,102.3,1453.99,1.6,1511.28,1.71
"2017-02-06_ED_2km_m1_1_052.txt",52,2,105.4,1188.88,1.13,1198.89,1.19
"2017-02-06_ED_3km_m1_1_052.txt",52,3,105.4,1260.48,1.19,1272.94,1.24
"2017-02-06_ED_4km_m1_1_052.txt",52,4,105.4,1345.47,1.34,1373.91,1.41
"2017-02-06_ED_5km_m1_1_052.txt",52,5,105.4,1470.35,1.41,1514.06,1.51
"2017-02-06_ED_6km_m1_1_052.txt",52,6,105.4,1576.53,1.46,1632.47,1.63
"2017-02-011_ED_2km_m1_1_053.txt",53,2,93.2,1143.8,1.18,1156.69,1.32
"2017-02-011_ED_3km_m1_1_053.txt",53,3,93.2,1274.26,1.28,1296.01,1.42
"2017-02-011_ED_4km_m1_1_053.txt",53,4,93.2,1389.34,1.37,1416.29,1.53
"2017-02-011_ED_5km_m1_1_053.txt",53,5,93.2,1531.39,1.5,1520.72,1.81
"2017-02-016_ED_2km_m1_1_054.txt",54,2,101.1,1216.49,1.36,1225.88,1.37
"2017-02-016_ED_3km_m1_1_054.txt",54,3,101.1,1285.6,1.4,1300.99,1.42
"2017-02-016_ED_4km_m1_1_054.txt",54,4,101.1,1364.75,1.51,1383.78,1.53
"2017-02-016_ED_5km_m1_1_054.txt",54,5,101.1,1398.12,1.56,1423.37,1.61
"2017-02-016_ED_6km_m1_1_054.txt",54,6,101.1,1505.4,1.78,1539.22,1.92
"2017-02-016_ED_2km_m1_1_055.txt",55,2,108.8,1281.5,0.98,1290.87,1.25
"2017-02-016_ED_3km_m1_1_055.txt",55,3,108.8,1408.43,1.02,1422.4,1.38
"2017-02-016_ED_4km_m1_1_055.txt",55,4,108.8,1584.77,1.05,1598.36,1.53
"2017-02-016_ED_5km_m1_1_055.txt",55,5,108.8,1665.2,1.13,1713.27,1.63
"2017-02-016_ED_6km_m1_1_055.txt",55,6,108.8,1751.1,1.21,1829.65,1.8
"2017-02-023_ED_2km_m1_1_056.txt",56,2,124.1,1339.56,1.05,1357.58,1.17
"2017-02-023_ED_3km_m1_1_056.txt",56,3,124.1,1430.31,1.11,1460.27,1.23
"2017-02-023_ED_4km_m1_1_056.txt",56,4,124.1,1515.42,1.18,1558.68,1.36
"2017-02-023_ED_5km_m1_1_056.txt",56,5,124.1,1693.32,1.39,1750.42,1.62
"2017-02-023_ED_6km_m1_1_056.txt",56,6,124.1,1804.64,1.76,1879.5,2.01
"2017-03-27_ED_2km_m1_1_057.txt",57,2,139.1,1666.22,1.32,1686.99,1.38
"2017-03-27_ED_3km_m1_1_057.txt",57,3,139.1,1898.94,1.45,1926.82,1.5
"2017-03-27_ED_4km_m1_1_057.txt",57,4,139.1,2123.81,1.49,2170.35,1.56
"2017-03-27_ED_5km_m1_1_057.txt",57,5,139.1,2272.79,1.65,2339.35,1.78
