"name","ID","speed","weight","pVGRF_N","pVACC_g","pRGRF_N","pRACC_g"
"2017-12-06_ED_4km_m1_1_114.txt",114,4,65.5,970.64,1.6,991.86,1.62
"2017-12-06_ED_5km_m1_1_114.txt",114,5,65.5,1046.76,1.73,1078.26,1.77
"2017-12-06_ED_6km_m1_1_114.txt",114,6,65.5,1091.64,1.91,1129.34,1.96
"2017-12-06_ED_2km_m1_1_115.txt",115,2,64.8,914.1,1.34,929.7,1.37
"2017-12-06_ED_3km_m1_1_115.txt",115,3,64.8,981.81,1.51,1000.15,1.56
"2017-12-06_ED_4km_m1_1_115.txt",115,4,64.8,1058.03,1.73,1083.05,1.75
"2017-12-06_ED_5km_m1_1_115.txt",115,5,64.8,1125.63,1.88,1158.07,1.93
"2017-12-06_ED_6km_m1_1_115.txt",115,6,64.8,1172.23,2.03,1218.4,2.13
"2017-12-06_ED_2km_m1_1_116.txt",116,2,84.3,1070.94,1.36,1085.21,1.39
"2017-12-06_ED_3km_m1_1_116.txt",116,3,84.3,1171.29,1.47,1190.21,1.49
"2017-12-06_ED_4km_m1_1_116.txt",116,4,84.3,1175.63,1.39,1207.9,1.43
"2017-12-06_ED_5km_m1_1_116.txt",116,5,84.3,1221.15,1.54,1253.44,1.59
"2017-12-06_ED_6km_m1_1_116.txt",116,6,84.3,1292.01,1.74,1332.93,1.8
"2017-12-06_ED_2km_m1_1_117.txt",117,2,51.4,713.86,1.26,731.16,1.28
"2017-12-06_ED_3km_m1_1_117.txt",117,3,51.4,744.96,1.39,764.3,1.42
"2017-12-06_ED_4km_m1_1_117.txt",117,4,51.4,782.71,1.57,802.46,1.62
"2017-12-06_ED_5km_m1_1_117.txt",117,5,51.4,846.71,1.71,866.73,1.77
"2017-12-06_ED_6km_m1_1_117.txt",117,6,51.4,909.39,1.95,946.57,2.1
"2017-12-09_ED_2km_m1_1_118.txt",118,2,73.2,833.44,1.2,839.74,1.24
"2017-12-09_ED_3km_m1_1_118.txt",118,3,73.2,904.47,1.34,911.55,1.4
"2017-12-09_ED_4km_m1_1_118.txt",118,4,73.2,902.55,1.54,910.41,1.61
"2017-12-09_ED_5km_m1_1_118.txt",118,5,73.2,979.48,1.64,993.6,1.73
"2017-12-09_ED_6km_m1_1_118.txt",118,6,73.2,1022.59,1.87,1046.73,1.91
"2017-12-09_ED_2km_m1_1_119.txt",119,2,72.7,858.66,1.2,870.4,1.25
"2017-12-09_ED_3km_m1_1_119.txt",119,3,72.7,912.23,1.31,935.9,1.39
"2017-12-09_ED_4km_m1_1_119.txt",119,4,72.7,979.43,1.48,1007.09,1.55
"2017-12-09_ED_5km_m1_1_119.txt",119,5,72.7,1063.25,1.7,1100.49,1.78
"2017-12-09_ED_6km_m1_1_119.txt",119,6,72.7,1092.14,1.73,1135,1.82
"2017-12-11_ED_2km_m1_1_120.txt",120,2,56.2,670.48,1.35,675.17,1.38
"2017-12-11_ED_3km_m1_1_120.txt",120,3,56.2,733.81,1.48,742.94,1.52
"2017-12-11_ED_4km_m1_1_120.txt",120,4,56.2,805.2,1.66,820.42,1.72
"2017-12-11_ED_5km_m1_1_120.txt",120,5,56.2,837.99,1.94,857.04,1.98
"2017-12-11_ED_6km_m1_1_120.txt",120,6,56.2,899.13,2.26,923.32,2.32
"2017-12-20_ED_2km_m1_1_121.txt",121,2,72.3,840.96,1.23,845.57,1.29
"2017-12-20_ED_3km_m1_1_121.txt",121,3,72.3,918.41,1.32,928.68,1.46
"2017-12-20_ED_4km_m1_1_121.txt",121,4,72.3,899.83,1.39,914.6,1.54
"2017-12-20_ED_5km_m1_1_121.txt",121,5,72.3,901.91,1.54,929.15,1.66
"2017-12-20_ED_6km_m1_1_121.txt",121,6,72.3,969.47,1.8,990.44,1.82
"2017-12-22_ED_2km_m1_1_122.txt",122,2,68.7,853.13,1.29,865.59,1.31
"2017-12-22_ED_3km_m1_1_122.txt",122,3,68.7,926.29,1.43,947.54,1.44
"2017-12-22_ED_4km_m1_1_122.txt",122,4,68.7,989.5,1.68,1012.71,1.71
"2017-12-22_ED_5km_m1_1_122.txt",122,5,68.7,1001.49,1.78,1034.49,1.82
"2017-12-22_ED_6km_m1_1_122.txt",122,6,68.7,1051.85,2.12,1095.32,2.17
"2017-12-23_ED_2km_m1_1_124.txt",124,2,53,683.58,1.33,688.29,1.4
"2017-12-23_ED_3km_m1_1_124.txt",124,3,53,707.15,1.42,715.01,1.51
"2017-12-23_ED_4km_m1_1_124.txt",124,4,53,719.93,1.49,730.13,1.64
"2017-12-23_ED_5km_m1_1_124.txt",124,5,53,736.04,1.58,736.99,1.82
"2017-12-23_ED_6km_m1_1_124.txt",124,6,53,777.21,1.68,779.05,1.93
"2017-12-22_ED_2km_m1_1_125.txt",125,2,58.7,740.99,1.27,748.34,1.29
"2017-12-22_ED_3km_m1_1_125.txt",125,3,58.7,831.54,1.49,840.33,1.52
"2017-12-22_ED_4km_m1_1_125.txt",125,4,58.7,894.76,1.7,905.61,1.74
"2017-12-22_ED_5km_m1_1_125.txt",125,5,58.7,940.04,1.94,957.72,1.98
"2017-12-22_ED_6km_m1_1_125.txt",125,6,58.7,1004.72,2.1,1030.57,2.16
"2016-11-29_ED_2km_1_m2_020.txt",202,2,90.6,1047.39,1.25,1057.69,1.31
"2016-11-29_ED_3km_1_m2_020.txt",202,3,90.6,1073.4,1.36,1085.14,1.5
"2016-11-29_ED_4km_1_m2_020.txt",202,4,90.6,1069.05,1.53,1135.82,1.76
"2016-11-29_ED_5km_1_m2_020.txt",202,5,90.6,1166.26,1.82,1183.71,1.95
"2016-11-29_ED_6km_1_m2_020.txt",202,6,90.6,1329.13,2.01,1359.87,2.19
"2017-04-24_ED_2km_m3_1_020.txt",203,2,75.2,868.06,1.22,877.88,1.28
"2017-04-24_ED_3km_m3_1_020.txt",203,3,75.2,893.29,1.32,908.2,1.44
"2017-04-24_ED_4km_m3_1_020.txt",203,4,75.2,923.62,1.44,944.64,1.57
"2017-04-24_ED_5km_m3_1_020.txt",203,5,75.2,984.99,1.64,1013.7,1.75
"2017-04-24_ED_6km_m3_1_020.txt",203,6,75.2,1114.2,1.84,1152.89,2.05
